front;back
a (prep.);to
abitare (v. int.);to live
aceto (s.m.);vinegar
acqua (s.f.);water
adesso (avv.);now
aereo(aeroplano) (s.m.);airplane(airplane)
aeroporto (s.m.);airport
affetto (s.m.);affection
agenzia (s.f.);agency
agosto (s.m.);August
aiuto (inter.);help
albergo (s.m.);hotel
albero (s.m.);tree
alfabeto (s.m.);alphabet
alto (agg.);tall
amare (v.t.);to love
ambasciata (s.f.);embassy
amico/a (s.m. – s.f.);friend
amore (s.m);love
anche (cong.);also
andare (v. int.);to go
animale (s.m.);animal
anno (s.m.);year
appartamento (s.m.);apartment
appuntamento (s.m.);appointment
aprile (s.m.);April
aprire (v.t.);to open
arrivare (v.intr.);to arrive
arrivederci (inter.);until we meet again
arte (s.f.);art
ascoltare (v.t.);to listen
aspettare (v.t);to wait
attento (agg.);careful
attenzione (s.f.);attention
augurio (s.m.);wish
autobus (s.m.);bus
autunno (s.m.);autumn
avanti (avv.);forward
avere (v.t.);to have
bacio (s.m.);kiss
bagno (s.m.);bathroom
ballare (v.int.);dance
bambino/a (s.m - s.f.);child
banca (s.f.);bank
bar (s.m.);bar
bello (agg.);nice
bene (avv.);well
bere (v.t.);to drink
bianco (agg.);white
bicchiere (s.m.);glass
bici(cletta) (s.f.);bicycle)
biglietto (s.m.);ticket
biondo (agg.);blond
birra (s.f.);beer
blu (agg.);blue
borsa (s.f.);bag
bottiglia (s.f.);bottle
bravo (agg. - inter.);bravo
buonanotte (inter.);good night
buonasera (inter.);good evening
buongiorno (inter.);good morning
buono (agg.);good
busta (s.f.);envelope
caffè (s.m.);coffee
caldo (agg.);hot
calza (s.f.);fits
cambiare (v.t);to change
camera (s.f.);room
cameriere/a (s.m.- s.f.);waiter
camicia (s.f.);shirt
campagna (s.f.);countryside
cane (s.m.);dog
cantare (v.t.);to sing
canzone (s.f.);song
capello (s.m.);hair
capire (v.t.);to understand
cappotto (s.m.);coat
cappuccino (s.m.);cappuccino
carne (s.f.);meat
caro (agg.);expensive
carta (s.f.);paper
cartolina (s.f.);postcard
casa (s.f.);house
castano (agg.);brown
cd (s.m);cd
cellulare (s.m.);mobile phone
cena (s.f.);dinner
cenare (v.int.);have dinner
centro (s.m.);center
cercare (v.t.);to look for
certo (avv.);certain
che (pron.);that
check-in (s.m.);check in
chi (pron.);who
chiamare/si (v.t. – v.int. pron.);call/yes
chiave (s.f.);key
chiesa (s.f.);church
chiudere (v.t.);to close
ci (part. pron. luogo);there
ciao (inter.);hi
cibo (s.m.);food
cin cin (inter.);cheers. cheers
cinema (s.m.);cinema
città (s.f.);city
classe (s.f.);class
cognome (s.m.);surname
colazione (s.f.);breakfast
colore (s.m.);color
coltello (s.m);knife
come (avv.);how
cominciare (v.int.);to begin
compagno/a (s.m. – s.f.);partner
compleanno (s.m.);birthday
comprare (v.t.);to buy
computer (s.m.);computer
con (prep.);with
consolato (s.m.);consulate
conto (s.m.);account
corso (s.m.);course
corto (agg.);short
cosa (s.f.);what
costare (v.t.);cost
credito (s.m.);credit
cucchiaio (s.m.);table spoon
cucina (s.f.);kitchen
dare (v.t.);to give
data (s.f.);date
davanti (avv.);in front
dentro (avv.);inside
destra (s.f.);right
di (prep.);of
dicembre (s.m.);December
dietro (avv.);behind
difficile (agg.);difficult
dire (v.t.);to say
doccia (s.f.);shower
documento (s.m.);document
domanda (s.f.);question
domandare (v.t.);to ask
domani (avv.);tomorrow
domenica (s.f.);Sunday
donna (s.f.);woman
dopo (avv.);after
doppio (agg.);double
dormire (v.int.);to sleep
dottore/ssa (s.m. – s.f.);doctor
dove (avv.);where
dovere (v.int.);must
e (cong.);and
e-mail (s.f.);e-mail
entrare (v.int.);to enter
esercizio (s.m.);exercise
essere (v.int.);to be
estate (s.f.);summer
estero (s.m.);abroad
euro (s.m.);euro
fabbrica (s.f.);factory
facile (agg.);easy
falso (agg.);false
fame (s.f.);hunger
famiglia (s.f.);family
fare (v.t.);to do
farmacia (s.f.);pharmacy
favore (s.m.);favor
fax (s.m.);fax
febbraio (s.m.);February
felice (agg.);happy
femmina (s.f.);female
fermata (s.f.);stop
festa (s.f.);party
figlio/a (s.m. – s.f.);son/daughter
film (s.m.);movie
finestra (s.f.);window
finire (v.int.);to finish
fiore (s.m.);flower
forchetta (s.f.);fork
fotografia (s.f.);photo
francobollo (s.m.);stamp
fratello (s.m.);brother
freddo (agg.);cold
frutta (s.f.);fruit
fumare (v.t.);to smoke
fuori (avv.);outside
gatto (s.m.);cat
gennaio (s.m.);January
gentile (agg.);kind
giacca (s.f.);jacket
giallo (agg.);yellow
giardino (s.m.);garden
giocare (v.intr.);to play
giornale (s.m.);newspaper
giornata (s.f.);day
giorno (s.m.);day
giovane (agg.);young
giovedì (s.m.);Thursday
giugno (s.m.);June
giù (avv.);down
gli (art.);the
gonna (s.f.);skirt
grande (agg.);big
grazie (inter.);thank you
guardare (v.t.);to watch
hobby (s.m.);hobby
hotel (s.m.);hotel
i (art.);the
ieri (avv.);yesterday
il (art.);the
imparare (v.t.);to learn
importante (agg.);important
in (prep.);in
incontrare (v.t.);to meet
indietro (avv.);back
indirizzo (s.m.);address
industria (s.f.);industry
informazione (s.f.);information
insegnante (s.m – s.f.);teacher
insegnare (v.t.);to teach
intelligente (agg.);intelligent
interessante (agg.);interesting
internazionale (agg.);international
internet (s.f.);internet
inverno (s.m.);winter
io (pron.);i
italiano (s.m.);Italian
la (art.);the
lago (s.m.);lake
largo (agg.);wide
latte (s.m.);milk
lavorare (v.int.);to work
lavoro (s.m.);work
le (art.);the
leggere (v.t.);to read
lei (pron.);she
lettera (s.f.);letter
letto (s.m.);bed
lezione (s.f.);lesson
libro (s.m.);book
lingua (s.f.);tongue
lo (art.);the
lontano (avv.);far
loro (pron.);they
luglio (s.m.);July
lui (pron.);he
lunedì (s.m.);Monday
lungo (agg.);long
là (avv.);there
lì (avv.);there
macchina (s.f.);car
