front;back
a (prep.);to
abbandonare (v.t.);abandon
abbassare (v.t.);lower
abbastanza (avv.);enough
abbonamento (s.m);subscription
abbondante (agg.);plentiful
abbracciare (v.t.);hug
abbraccio (s.m.);hug
abile (agg.);skilled
abilità (s.f.);ability
abitante (s.m. - s.f.);inhabitant
abitare (v. int.);to live
abitazione (s.f.);home
abituarsi (v. rifl.);get used to it
abitudine (s.f.);habit
accadere (v.int.);happen
accanto (avv.);next to
accarezzare (v.t.);caress
accelerare (v.int.);accelerate
accendere (v.t.);to turn on
accendino (s.m.);lighter
accento (s.m.);accent
accettare (v.t.);to accept
accidenti (inter.);damn!
accogliere (v.t.);to welcome
accomodarsi (v.int.pron.);take a seat
accompagnare (v.t.);accompany
acconto (s.m.);advance payment
accordo (s.m.);agreement
accorgersi (v.int.pron.);to realize
accusare (v.t.);accuse
aceto (s.m.);vinegar
acido (agg.);acid
acqua (s.f.);water
acquistare (v.t.);acquire
adatto (agg.);suited
addetto/a (s.m. - s.f.);employee
addio (inter.);goodbye
addormentarsi (v.int.pron.);fall asleep
adesso (avv.);now
adolescente (s.m. - s.f.);teenager
adoperare (v.t.);use
adorare (v.t.);worship
adottare (v.t.);adopt
adulto/a (agg. - s.m. - s.f.);adult
aereo(aeroplano) (s.m.);airplane(airplane)
aeroporto (s.m.);airport
affare (s.m.);deal
affatto (avv.);at all
affermare (v.t.);affirm
affermazione (s.f.);statement
affetto (s.m.);affection
affettuoso (agg.);affectionate
affinché (cong.);so that
affittare (v.t.);rent
affitto (s.m.);rent
affrontare (v.t.);face
agenzia (s.f.);agency
aggiungere (v.t.);add
aggiustare (v.t.);adjust
agio (s.m.);ease
aglio (s.m.);garlic
agosto (s.m.);August
agricoltura (s.f.);agriculture
agriturismo (s.m.);farmhouse
aiutare (v.t.);to help
aiuto (inter. - s.m.);help
alba (s.f.);sunrise
albergo (s.m.);hotel
albero (s.m.);tree
alcuno (agg.);any
alfabeto (s.m.);alphabet
alimentari (s.m. pl.);food
alimentazione (s.f.);diet
allarme (s.m.);alarm
allegro (agg.);cheerful
allergico (agg.);allergic
alloggio (s.m.);accommodation
allontanarsi (v.int.pron.);walk away
allora (avv.);at that time
almeno (avv.);at least
alto (agg.);tall
altrettanto (agg.);likewise
altrimenti (avv.);otherwise
altro (pron. - agg.);other
alzarsi (v.rifl.);get up
amare (v.t.);to love
amaro (agg.);bitter
ambasciata (s.f.);embassy
ambiente (s.m.);environment
ambulanza (s.f.);ambulance
ambulatorio (s.m.);clinic
amicizia (s.f.);friendship
amico/a (s.m. – s.f.);friend
ammalarsi (v. int. pron.);get sick
ammazzare (v.t.);to kill
ammettere (v.t.);admit
amministratore/trice (s.m. - s.f.);administrator
ammirare (v.t.);admire
ammobiliato (agg.);furnished
amore (s.m.);love
ampio (agg.);ample
analisi (s.f.);analyses
anche (cong.);also
ancora (avv.);still
andare (v. int.);to go
andarsene (v. int. pron.);leave
anello (s.m.);ring
angolo (s.m.);corner
animale (s.m.);animal
anno (s.m.);year
annoiarsi (v.int.pron.);get bored
annullare (v.t.);delete
annuncio (s.m.);announcement
ansia (s.f.);anxiety
ansioso (agg.);anxious
anticipo (s.m.);advance
antico (agg.);ancient
antipasto (s.m.);appetizers
antipatico (agg.);unfriendly
anziano/a (agg. - s.m. - s.f.);elderly
aperitivo (s.m.);aperitif
appartamento (s.m.);apartment
appartenere (v.int.);belong
appassionato (agg.);passionate
appena (avv.);as soon as
appetito (s.m.);appetite
apprezzare (v.t.);appreciate
appuntamento (s.m.);appointment
appunto (s.m. - avv.);precisely
aprile (s.m.);April
aprire (v.t.);to open
arancia (s.f.);orange
arancione (agg.);orange
argento (s.m.);silver
argomento (s.m.);topic
aria (s.f.);air
arma (s.f.);weapon
armadio (s.m.);wardrobe
armonia (s.f.);harmony
arrabbiarsi (v.int.pron.);get angry
arrestare (v.t.);stop
arrivare (v.int.);to arrive
arrivederci (inter.);until we meet again
arrivo (s.m.);i arrive
arrosto (s.m.);roast
arte (s.f.);art
articolo (s.m.);article
artificiale (agg.);artificial
artigianato (s.m.);craftsmanship
ascensore (s.m.);elevator
asciugamano (s.m.);towel
asciugare/si (v.t. – v.rifl. – v.t. pron.);dry/yes
ascoltare (v.t.);to listen
asilo (s.m.);asylum
asma (s.f.);asthma
aspettare/si (v.t. – v.t. pron.);wait/yes
aspetto (s.m.);i wait
aspro (agg.);harsh
assassino/a (s.m. - s.f);murderer
assegno (s.m.);check
assente (agg.);absent
assenza (s.f.);absence
assicurare (v.t.);to ensure
assicurazione (s.f.);insurance
associazione (s.f.);association
assolutamente (avv.);absolutely
assomigliare (v.int.);resemble
assumere (v.t.);assume
assurdo (agg.);absurd
atteggiamento (s.m.);attitude
attendere (v.t - v. int.);wait
attentamente (avv.);carefully
attentato (s.m.);attack
attento (agg.);careful
attenzione (s.f.);attention
attesa (s.f.);wait
attimo (s.m.);moment
attività (s.f.);activity
attore/trice (s.m. - s.f.);actor/actress
attraversare (v.t.);cross
attraverso (prep.);through
augurare/si (v.t. - v.t. pron.);wish/yes
augurio (s.m.);wish
aula (s.f.);classroom
